user,location,text,sentiment,probability
Lynx_581,En un lugar de la puta mierda,"#CadenaDeAfectosPorPetro, que enseguida se reintegró al trabajo en sesión virtual. No como los del centro democrático, que si los llaman a indagatoria les da diarrea.",Positivo,59
alfredopetroju3,Colombia Bogotá ,"Cuál es el miedo de la derecha con la emfermedad de Petro?

Fácil, si Petro vence al cáncer, no habrá fraude que valga para robarle las elecciones otra vez

Vamos, Petro, el pueblo te acompaña. 

#CadenaDeAfectosPorPetro",Positivo,51
matte_too,,"@tere_marinovic Señora, estos bot los paga usted??? #Amanda #coronavirus #QuedateEnCasa #YoMeQuedoEnCasa #Chernobyl #teresa #Apruebo #MoreLatinosInNews #morel #survivor2020favorim #CadenaDeAfectosPorPetro # https://t.co/9FAIBFkOzR",Positivo,63
MSehlsa,"Pereira, Colombia","#CadenaDeAfectosPorPetro que, como el ave Fénix, reinicie, más fortalecido que nunca, la lucha en/por/para Colombia,",Positivo,57
tavoalvarez99,Cucuta-Colombia,Vamos amigo recuperate pronto #CadenaDeAfectosPorPetro,Positivo,86
BardalesSergio,Abajo y a la izquierda.,"@petrogustavo
@nicolaspetroB

Colombia 

Fuerza Gustavo Petro 

La cirugía salió bien, toca esperar los resultados. 

A reforzar la #CadenaDeAfectosPorPetro

(Nicolas Petro). https://t.co/CRFGI7CDHD",Positivo,77
BardalesSergio,Abajo y a la izquierda.,"@petrogustavo
@nicolaspetroB
https://t.co/jh7EAMKhTb

Colombia 

Fuerza Gustavo Petro 

La cirugía salió bien, toca esperar los resultados. 

A reforzar la #CadenaDeAfectosPorPetro

(Nicolas Petro).",Positivo,77
papisa3166,"New York, NY",Como así que @petrogustavo le hicieron legrado? Ginecológico u obstétrico? O se le subieron los huevos a la garganta? No se puede ser más estúpido. #CadenaDeAfectosPorPetro #FuerzaPetro #PetroMiente https://t.co/l6r3Hk6ytF,Positivo,59
goyoski,sur americaland,#CadenaDeAfectosPorPetro. SALVE LORD PETROSKY.....SEGUIMOS EN LA LUCHA,Positivo,60
adrianmonigote,La sucia Bogota,"@patriciajaniot @petrogustavo Señora usted está difundiendo odio sin pruebas. Investigue acerca de la corrupción del ingreso solidario, que Perro esté enfermo le incumbe solamente a Él y a su familia. #CadenaDeAfectosPorPetro",Positivo,59
AndresPala89,bogota city,"Los Fantas A Los Que Se Les PagaRa La Devolución Del IVA ... Uribestias
Compruebe lo Usted Mismo Zoombies 
⚠️ #URGENTE ⚠️
☢️ @IvanDuque ☣️
#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
#coronavirus 
#Endoscopia al 99,9% De Los Carrasquilla De La 
🆘 DIAN 🆘 👇🏽
CC 3333333... https://t.co/aqyuFgNgEB",Positivo,62
galindoji,La Patria Grande.,#CadenaDeAfectosPorPetro ❤️❤️❤️❤️❤️❤️❤️ #FuerzaPetro  mi presi!!! https://t.co/JV19QUnL8a,Positivo,68
Amberlita2000,Colombia tierra querida,"#CadenaDeAfectosPorPetro Dios te de salud y bienestar, estamos confiados todos en una Colombia Humana #FuerzaPetro Bendicionessss!!!",Positivo,57
ejimce,Barranquilla - Colombia,"#CadenaDeAfectosPorPetro 
#CadenaDeAfectosPorPetro 
No puede negarse es el mismo hpta.

#NoMasLey100 
@FSFB_Salud 
@petrogustavo https://t.co/ftDyWcF0yM",Positivo,54
RioslCarolina,"Colombia, Bucaramanga","Toda mi energía y oraciones por la salud de @petrogustavo lo esperamos pronto en nuestra necesitada Colombia, seguiremos con más fuerza la lucha por un país más humano. #CadenaDeAfectosPorPetro",Positivo,72
lilocediel,Montréal-Canadá,#CadenaDeAfectosPorPetro recupérate Petrico,Positivo,63
yonier2012,"Villavicencio, Colombia","• Pandemia ✅
• Erupción volcánica ✅
• Terremoto ✅
• Meteorito ❓
• Posible Tornado en EEUU ✅

• BONUS TRACK: Incendio radiactivo en Chernobil ✅

#QuedateEnCasa #Chernobyl #Meteorito #Indonesia #TORNADOEMERGENCY #CadenaDeAfectosPorPetro #",Positivo,55
jorgegarciapab4,El Caribe Colombiano.,"#CadenaDeAfectosPorPetro adelante mi querido y compatriota @petrogustavo a restablecerse, junto a tu familia, que es lo mas importante, lucha espera.",Positivo,70
lochome,Bogotá Colombia,@petrogustavo no soy su simpatizante pero deseo de todo corazón que se mejore y q su tratamiento sea exitoso. Petro  es fundamental para el debate en este país. #CadenaDeAfectosPorPetro,Positivo,66
matte_too,,"@ximenes141163 @24HorasTVN Porque eso no es verdad, fue desmentido, awueonao. #coronavirus #Amanda #QuedateEnCasa #Chernobyl #COVID19 #CadenaDeAfectosPorPetro",Positivo,66
peraltaflix1,,"@nicolaspetroB Personas que cambian nuestros conceptos a cerca de su inteligencia , buen juicio y sentido común.  #CadenaDeAfectosPorPetro",Positivo,64
jorpasion,Colombia,"Esperamos tu pronta recuperación Gustavo.

#CadenaDeAfectosPorPetro 
#FuerzaPetro
@petrogustavo 
@ColombiaHumana_",Positivo,67
LuqmiIvan,Valle del Cauca,El único que se da el lujo de decirles las cosas de frente a estos ampones el único que solo saco a la luz el paramilitarismo el sii el que solo saco a luz los falsos positivos es por eso que le traen tanta bronca por ser quien es @petrogustavo #CadenaDeAfectosPorPetro #DuqueMise https://t.co/EFX3sMkwZH,Negativo,48
AndresPala89,bogota city,"@GABOZARRATE @BSulfatado @AlvaroUribeVel @ExavierFlorez1 @ivamanzano Ahora Nos Llenan El Estómago ...
A punta De videos .. 
Que miserable 
#CadenaDeAfectosPorPetro 
Que se Le Robaron La Presidencia 
#cuidarnuestrosmedicoses 
Asesinos @CeDemocratico 
@MinSaludCol 
#RoboSolidario 
#13Abril https://t.co/9iP2jCdOjs",Positivo,65
reformista_lib,"Bogotá, D.C., Colombia","- Los cantantes uribistas ya donaron ✅
- En el senado todo el Centro Democrático ya donaron ✅
- Los empresarios uribistas ya donaron ✅
- Los actores uribistas ya donaron ✅

Y los petristas? Cruzando los dedos para que Petro tenga cancer.

#CadenaDeAfectosPorPetro",Positivo,63
alfredopetroju3,Colombia Bogotá ,"RepúblicaDeLatinoamérica (@ManuelBeltrn14) twitteó: Cuál es el miedo de la derecha con la emfermedad de Petro?

Fácil, si Petro vence al cáncer, no habrá fraude que valga para robarle las elecciones otra vez

Vamos, Petro, el pueblo te acompaña. 

#CadenaDeAfectosPorPetro",Positivo,52
lauradiep2,,Ayudene a crear una cadena de oración por la vida de @petrogustavo  #CadenaDeAfectosPorPetro #petro . Esta muy delicado según los cables internacionales,Positivo,71
Rossyross17,"Cali, Colombia","La justicia Divina siempre lo cuidará porque somos más los buenos quienes oramos por su pronta recuperación. 
#CadenaDeAfectosPorPetro",Positivo,83
nanhernandez46,colombia,"#CadenaDeAfectosPorPetro 
NO ES DE MIS AFECTOS. COMO LÍDER Y POLÍTICO ME PARECE TAN NEFASTO Y PERVERSO COMO EL QUE YA SABEMOS.  SUS SEGUIDORES SON IGUALES DE FANÁTICOS Y ENFERMOS COMO LOS DEL OTRO. PERO COMO PERSONA,  LE DESEO UN BUEN DIAGNÓSTICO Y PRONTA RECUPERACIÓN.",Positivo,73
Karibeno_R,Colombia,"#13Abril |¡Homenaje!| #Opinión
""𝗬𝗼 𝗻𝗼 𝘀𝗼𝘆 𝘂𝗻 𝗵𝗼𝗺𝗯𝗿𝗲, 𝘀𝗼𝘆 𝘂𝗻 𝗽𝘂𝗲𝗯𝗹𝗼"" 𝗝𝗼𝗿𝗴𝗲 𝗘𝗹𝗶𝗲́𝗰𝗲𝗿 𝗚𝗮𝗶𝘁𝗮́𝗻 𝟭𝟵𝟬𝟯-𝟭𝟵𝟰𝟴.

""Por la restauracion moral de la Republica, Pueblo ¡A la Carga!""

#FrenteDeGuerraNorteELN
#CadenaDeAfectosPorPetro
#Colombia https://t.co/Od4kw7yPGH",Positivo,69
molinataborda,Pereira ,"Valiente y decidido ante los corruptos, 
De esta sale bien #CadenaDeAfectosPorPetro",Positivo,73
lianato28,Barranquilla,Vamos Petro. #CadenaDeAfectosPorPetro,Positivo,80
Ishikary_Ackerm,"Bogotá, D.C., Colombia","@AidaAvellaE @petrogustavo @SenadoGovCo Que increíble fuerza!!! En lugar de estar descansando tras su cirugía, ahí está trabajando. Ánimo estamos seguros su recuperación #CadenaDeAfectosPorPetro #FuerzaPetro",Positivo,64
shekinarth,Casanare colombia   ,"#CadenaDeAfectosPorPetro vamos mi presidente, la corrupción no se detiene y hay que seguir combatiendola @petrogustavo",Positivo,85
fredylopezreyes,COLOMBIA,#CadenaDeAfectosPorPetro mañana habrán muy buenas noticias  fuerza mi Petro Colombia de la política de la vida esta contigo,Positivo,87
pierrealee,Barranquilla - Santa Marta ,"La crisis sanitaria por el #CoronavirusEnColombia se le responde con trabajo desde las instituciones @SenadoGovCo. 
Que fortaleza y ejemplo @petrogustavo #CadenaDeAfectosPorPetro https://t.co/7H3pHiRCoE",Positivo,47
Rafaperezacosta,,#CadenaDeAfectosPorPetro porq es el líder q nos devolvió la esperanza y con sus denuncias nos libró de muchos delincuentes y corruptos creando leyes y ejecutando a su favor,Positivo,58
anfemota,,Yo me uno a la #cadenadeafectosporpetro... necesitamos un actor activo como él para la democracia de este país.,Positivo,66
itsRobinRude,,Ánimo presidente #CadenaDeAfectosPorPetro,Positivo,79
SoyHenryYepes,Bogotá,"@MajoDoria Ellos, excusándose en un hashtag ""escéptico"" le desean la muerte a @petrogustavo, no, no es escepticismo, es mezquindad y lo que poseen es un espíritu ruin que junto a su conciencia están siendo impulsados por una fuerza muy oscura. ¿Tiempo de reflexión?
#CadenaDeAfectosPorPetro",Positivo,60
SoyHenryYepes,Bogotá,"@andreapetro91 Ellos, excusándose en un hashtag ""escéptico"" le desean la muerte a @petrogustavo, no, no es escepticismo, son mezquinos y lo que poseen es un espíritu ruin que junto a su conciencia están siendo impulsados por una fuerza muy oscura. ¿Tiempo de reflexión?
#CadenaDeAfectosPorPetro",Positivo,61
Oscar_GCh,Colombia,"@JulianFMartinez Así es Julián!

El periodismo trasciende solamente basado en hechos reales, en lo substancial, en investigaciones serias, no meras opiniones vanas y acomodadas para favorecer a un establecimiento narcoparamilitar... Eso es @lcvelez y @saludhernandezm

#CadenaDeAfectosPorPetro",Positivo,67
Monyrica,Colombia,"#CadenaDeAfectosPorPetro Si Petro fuera el profesor me metería a estudiar, estudiaria toda la vida, con Petro uno aprende, Con Petro uno sueña, Petro comparte su conocimiento, nos da dignidad, empodera al pueblo, despierta los mejores valores en el ser humano, quiero q sea presi",Positivo,76
jorgeenavarro4,Cali,#CadenaDeAfectosPorPetro Gracias a Dios todo salió bien.,Positivo,93
Monyrica,Colombia,"#CadenaDeAfectosPorPetro Más videos de Petro, me encanta escuchar a Petro, los debates, los balconazos, las plazas en campaña, son una colección de oro, quiero un concierto de Petro, pagaría por escucharlo y verlo 
Nos llena de esperanza de saber y conocimiento 
Grande Petro",Positivo,79
MarialisMuriel,,Mucha fuerza♥️ sé que Dios lo cuida mucho 🙏🏻#CadenaDeAfectosPorPetro,Positivo,63
Dohaney77,cartagena de indias,#CadenaDeAfectosPorPetro fuerza @petrogustavo,Positivo,64
Juankcelis,Bogotano Ciudadano del Mundo,@GustavoBolivar Gustavo Bolivar @petrogustavo y sus secuaces con su  #CadenaDeAfectosPorPetro lo único que logran es que si no es cierto el cáncer del autoproclamado caudillo &amp; líder de @ColombiaHumana_  . Atraigan a lo que le temen y  en poco pasaran a Q.E.P.D,Positivo,62
martyalen32,Siempre ando por ahí 🤨,"Punto para Nayibe 👍🏻, espero que esto que está diciendo lo cumpla a cabalidad y efectivamente cuide a los habitantes  y trabajador@s de la salud de esta ciudad #FelizLunes #cuidarnuestrosmedicoses #CadenaDeAfectosPorPetro https://t.co/dNj2xauVSY",Positivo,72
Riyel02,"Manizales, Colombia",Esperemos que pronto tenga su encuentro con Hugo Chavez #CadenaDeAfectosPorPetro,Positivo,68
pierrealee,Barranquilla - Santa Marta ,"Sobre el anuncio de @petrogustavo, aquí está la verdad científica #CadenaDeAfectosPorPetro https://t.co/vxu7wgsX8D",Positivo,70
camilojuan76,,#CadenaDeAfectosPorPetro  esta cadena es la misma que el usaba con sus secuestrados?,Positivo,60
Elsargoz,,#CadenaDeAfectosPorPetro  Mucha alegría de saberlo bien. Todas nuestras mejores energías. #FuerzaPetroEstamosContigo,Positivo,85
DoncelSanch,chia,"Vamos, fuerza senador, futuro presidente, te necesitamos!!#CadenaDeAfectosPorPetro",Positivo,86
marcianamadre,,Dios te siga protegiendo #CadenaDeAfectosPorPetro,Positivo,55
Luchito2022,"Kentucky, USA","Tan raro.
Los que detestamos al bandido, corrupto de @petrogustavo estamos deseando que no tenga cáncer.
Y los colectivos PETRISTAS están deseando que si tenga cáncer.
🤣🤣🤣🤣🤣🤣🤣🤣
#CadenaDeAfectosPorPetro
#",Positivo,54
Davis55330845,,"🙌 Dios te bendiga, te de salud y sabiduría para acompañar al pueblo colombiano @petrogustavo Eres EL AMIGO DEL PUEBLO. #CadenaDeAfectosPorPetro",Positivo,68
jcgiraldoo1,Colombia,"#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
#CadenaDeAfectosPorPetro 
#cuidarnuestrosmedicoses 
Veo que el panorama del viejito se torna oscuro gracias al covi diejinueve",Positivo,80
