user,location,text,sentiment,probability
Cristin70841380,,"Gracias a Dios salió bien la operación del Senador Gustavo Petro.
#PetroEstamosContigo
#CadenaDeAfectosPorPetro",Positivo,90
espirituesencia,,"Nos tocó lichar en  país de las Dificultades, d Muerte, Corrupción, d mucha bajeza ontológica; pero por ello RECOTñRDEMOS q Estamos Construyendo Colombia Humana ya  #CadenaDeAfectosPorPetro #FuerzaPetro  #PetroEstamosContigo   Amando,VenSeremos https://t.co/2HhtileEVe",Positivo,61
Nixson24917997,,#CadenaDeAfectosPorPetro . La ironía de la vida los malos son los héroes y los buenos son la burla. Espero pronto recuperación @petrogustavo  le a faltado combinar el país . Mil gracias por su discurso.,Positivo,92
_miurc_,Bogotá ,Para reflexionar #CadenaDeAfectosPorPetro https://t.co/idBzakOMzY,Positivo,69
BTereresa,,"#CadenaDeAfectosPorPetro este confiado en Que Él Sr Dios, Que El lo sacará victorioso.
En Jeremías 29:13 y me buscareis y me hallaréis, porque me buscareis de de todo vuestro corazón",Positivo,58
noticiascmm,"Barranquilla, Colombia",Cirugía realizada a @petrogustavo fue un éxito: Nicolás Petro #CadenaDeAfectosPorPetro https://t.co/H5rN768wOw,Positivo,67
Laura26013672,,"Sí yo salí bien librada de la muerte por tener un gran propósito, por supuesto que tú lo harás también. Jesús yo confío en Tí fue mi mantra Ánimo. #cadenadeafectosporPetro",Positivo,77
Alfredoboita1,,"@patriciajaniot @petrogustavo @GustavoBolivar Señora @patriciajaniot en aras de la transparencia nos podía mostrar su examen de ginecóloga para ver si tiene flujo o alguna enfermedad de transmicion sexual, seria de mucho interés para el país #CadenaDeAfectosPorPetro #FelizLunes",Positivo,60
Lucas89777309,,"Creo que el inhumano Antonio Paccini tbien debería ir ante las autoridades a demostrar todas las pruebas contra  @petrogustavo y su salud, así cómo el invita a @EpicuroDeSamos_ a qué lo haga.
#GobiernoCriminal 
#NoMasLey100 
#NoMasLey100 
#CadenaDeAfectosPorPetro https://t.co/wuCgPKl96Q",Positivo,61
javipasto407,,"#CadenaDeAfectosPorPetro Claro, desde Pasto, estamos por su recuperación y vuelta al ""ruedo"", para bien de quienes creemos en una Colombia justa, para mal de un grupo de miserables que tienen vuelto mierda el país.",Positivo,53
Bodegon18,En permanente tránsito,@HOLLMANMORRIS @petrogustavo #cadenadeafectosporpetro por la paz con justicia social,Positivo,61
escorpion111969,,"Y la cirugía fue en Cuba? Porque será que ningún político ni de izquierda kinder derecha le cree a los médicos en Colombia? O mejor, no le cree a las instituciones médicas? Será porque saben lo que ellos se roban de ese rubro? #CadenaDeAfectosPorPetro @WRadioColombia @BluRadioCo",Positivo,48
ArlizonP,,"Con la ayuda del altísimo tendrás pontra recuperación para seguir batallando con nosotros, en las marchas por un mejor país
#CadenaDeAfectosPorPetro",Positivo,84
dragonnegro2395,El Averno,"Les brindamos salud, energía, fortaleza, al líder de la Colombia Humana, se va a recuperar y volverá más fuerte que nunca.

Es todo lo que tengo que decir.

#CadenaDeAfectosPorPetro",Positivo,59
AlbandreaC,colombia,#CadenaDeAfectosPorPetro Gracias por encarnar un poco de esperanza en este país tan corrompido por gente mala!!! #FuerzaPetro @petrogustavo esta es una batalla pequeña para un guerrero tan grande!!,Positivo,70
ZixZor,Latinoamérica...,"#CadenaDeAfectosPorPetro Gustavo ten mucha fuerza. Nosotros, los colombianos, hoy más que nunca vemos que el cambio es posible. Te necesitamos. Lucha querido amigo de Colombia. Todos estamos contigo, te queremos mucho.",Positivo,84
ElMemoFichas,,"#FuerzaPetro
#CadenaDeAfectosPorPetro
Te necesitamos Petro, mejorate y que abunde la buena Salud en ti",Positivo,80
fredyhcar,,Patéticos 🤣🤣🤣#CadenaDeAfectosPorPetro,Positivo,63
jamapebo,bogota,"#CadenaDeAfectosPorPetro eres un luchador aguerrido, las dificultades te hacen más fuerte. Fuerza estimado Gustavo petro",Positivo,64
AlfredoCOES99,,Me sumo a la #CadenaDeAfectosPorPetro,Positivo,67
canariosAMERICA,,"Vamos Gustavo Francisco fuerza contigo, la misma o mayor aa que muestras por la defensa de la Patria #CadenaDeAfectosPorPetro",Positivo,70
Alexandermuiska,Colombia,#CadenaDeAfectosPorPetro ¡Ánimo! que sos la moral de este pueblo abatido y masacrado.,Positivo,65
manny_vanegas,BOGOTÁ,Dios nos ha dado una excelente noticia hoy.#CadenaDeAfectosPorPetro,Positivo,80
humbertod10,Colombia,"#CadenaDeAfectosPorPetro le fuè bien con la endoscopia de hoy a Petro, suerte al senador.",Positivo,88
escorpion111969,,#CadenaDeAfectosPorPetro SIN PALABRAS....Y ME ATRAGANTE PARA GUARDAR SILENCIO Y NO HERIR SUSCEPTIBILIDADES https://t.co/3e8C29icnq,Positivo,65
mistermagu72,"Bogotá, D.C., Colombia","#CadenaDeAfectosPorPetro desde Bogotá, haciendo fuerza y enviando la mejor energía para @petrogustavo.",Positivo,78
OBRERO1986,"Bogotá, D.C., Colombia",Colombia #CadenaDeAfectosPorPetro los medios de comunicación que apoyo en la #BogotáHumana enviando mucha fuerza y aguante por la vida. https://t.co/02INVlht7k,Positivo,79
mayusamartinez,"Pereira, Colombia","#cadenadeafectosporPetro todos contigo, todos con la esperanza de un porvenir lleno de amor con tu presencia y gobernanza Presidente!",Positivo,81
TELMAGONZALEZ8,"MONTELIBANO,CORDOBA,COLOMBIA","#CadenaDeAfectosPorPetro Que mi Dios Todopoderoso lo bendiga siempre y lo libre de todo mal y lo aleje de todo peligro, que lo sane y recupere rápido.",Negativo,55
DSOTELOZ,,#CadenaDeAfectosPorPetro el próximo presidente de Colombia 🇨🇴 un abrazo gigante,Positivo,85
andresburbanob,,"Vas a estar bien, Valiente #CadenaDeAfectosPorPetro https://t.co/70ObksO0xk",Positivo,81
FRANCIAEPOLANCO,"Medellín, Antioquia, Colombia",#CadenaDeAfectosPorPetro ¡PETRO: LA HONRA DE COLOMBIA!,Positivo,65
Nelida47,Bogota ,#cadenadeafectosporpetro a luchar por ti porque te necesitamos https://t.co/vXidVb6Ybw,Positivo,73
Rafa_S_Granados,La Ruta Del Sol,#CadenaDeAfectosPorPetro Para que nunca mas regrese de Cuba. https://t.co/3BXOBhyZ2c,Positivo,62
Rafa_S_Granados,La Ruta Del Sol,#CadenaDeAfectosPorPetro Creo que las gafas también deben estar infectadas. https://t.co/YyYkVerZFA,Positivo,60
Andres043292279,,"#CadenaDeAfectosPorPetro el no es un hombre, es un pueblo.",Positivo,64
Andres043292279,,#CadenaDeAfectosPorPetro un gran lider,Positivo,89
Rios53Rios,POPAYAN,"#CadenaDeAfectosPorPetro . Involucran @EmbacubaCol .@FiscaliaCol @GustavoBolivar medio país pendiente si se salva .y todo por una sacadura de muela. Atención Univisión ,suspenso y misterio la próxima novela de Bolivar. https://t.co/5zbn2zrf5r",Positivo,57
ELITOREAL,Medellin - Colombia,"#CadenaDeAfectosPorPetro SALUD!! 
mi querido presidente @petrogustavo",Positivo,75
IncoherenciaCol,Colombia.,"Una persona que es capaz de inventarse un cáncer, solamente para salir bien librado de un error que cometio, es capaz de hacer cualquier cosa por el poder.
Eso es Petro, un Egolatra que busca atención.
#CadenaDeAfectosPorPetro",Positivo,58
jalcor1,"Medellín, Colombia",#CadenaDeAfectosPorPetro espero lo mejor!!,Positivo,88
Vmellan5,,"#CadenaDeAfectosPorPetro

Fuerza Senador @petrogustavo, toda la Colombia Humana está contigo y te espera triunfante luego de este impase, para que nos dirijas próximamente como una nación prospera y libre.
Bendiciones. https://t.co/5ZAi3YKMYa",Positivo,73
Rafa_S_Granados,La Ruta Del Sol,#CadenaDeAfectosPorPetro Esta noticia si le va a dar cáncer de verdad. https://t.co/XlFUV7Uzks,Positivo,62
RangPerez,Colombia,"#CadenaDeAfectosPorPetro me alegra sobremanera que el procedimiento qirugico a @petrogustavo haya salido bien.
Ahora esperar el exito de esta operación y su efectiva recuperación, así no sea pronta.",Positivo,72
EdoBM17,,Afecto y mucho ánimo #CadenaDeAfectosPorPetro,Positivo,64
teurgista,,Me inquieta saber qué es una convicción y cómo opera en la vida de alguien. Y Petro para mí es la personalización de una convicción profunda: con todas los vejaciones  vívidas durante más de 40 años sigue luchando inquebrantable. Que gran aprendizaje #CadenadeAfectosporPetro,Positivo,72
Cesar78937871,,"#CadenaDeAfectosPorPetro
Fuerza senador @petrogustavo una batalla mas de la que saldra victorioso",Positivo,67
Lucas89777309,,"😱 ¿Tentativa de homicidio?
#LeCreoAPetro
#FuerzaPetroEstamosContigo 
#CadenaDeAfectosPorPetro 
Un médico es de plena confianza de los inhumanos del CD y le dice HDP a Petro es un peligro para cualquier paciente que no sea de su agrado 😭😭😭
@FiscaliaCol ésto es muy grave😭😭 https://t.co/H4dEyfSf0X",Positivo,51
vimagoma_S1,Azerbaiyán,Les recomiendo #ElPelitoSanador uno nunca sabe! #CadenaDeAfectosPorPetro,Positivo,58
JackNic67203914,,Una multitud en Cuba en #CadenaDeAfectosPorPetro para verlo pasar en la ambulancia tras su intervención quirurgica! https://t.co/P9LZSH7E4Q,Positivo,55
papayapartia,,"#CadenaDeAfectosPorPetro

Abrazo de apoyo a Gustavo Petro! Te apoyamos y deseamos que todo salga bien!",Positivo,89
hegot85,,"#CadenaDeAfectosPorPetro hoy salió bien de la cirugía. Los resultados, serán sin duda los mejores. #FuerzaPetroEstamosContigo",Positivo,87
cortiz11,"Miami, FL","Mensaje de solidaridad para el compañero @petrogustavo ✌🏼🥑🇨🇴

#CadenaDeAfectosPorPetro #FuerzaPetro #FuerzaGustavo #ColombiaHumana #ColombiaHumanaInternacional #MiamiHumana https://t.co/wNsqsR01NV",Positivo,68
juan83939671,,"#CadenaDeAfectosPorPetro, señor Gustavo Petro, esperado por una mejoría en su salud y una pronta recuperación.",Positivo,61
espirituesencia,,"Si Parecido a COSCORRON Vargas Lleras, q le pega a quienes le ESCOLTAN y le dan Protección de su vida.. CAFRES , cual Tenebroso Sr dlas Sombras URIBEño cuyos Colaboradores aparecen MUERTOS #CadenaDeAfectosPorPetro 
#PetroEstamosContigo  #FuerzaPetro https://t.co/WblkU8NZQH",Positivo,54
Yesid58226034,,"Muchos son los CORAZONES, llenos de AMOR, FRATERNIDAD, AFECTOS Y TODO LO POSITIVO por el bien y la perfecta salud de nuestro hermano y líder GUSTAVO PETRO .
#CadenaDeAfectosPorPetro 
#PetroEstamosContigo .
  V E N C E R E M O S . https://t.co/UsU0HHPgTl",Positivo,77
bocasoy,"Valle del Cauca, Colombia","#CadenaDeAfectosPorPetro fuerza petro, aquí te necesitamos https://t.co/NM9EptFY2r",Positivo,72
carlos09sierra,Colombia,"#CadenaDeAfectosPorPetro No solo es un hombre, son sus ideas y propuestas , Petro , al igual que Gaitan es un pueblo https://t.co/e3WoraSrn0",Positivo,56
palobonitonobi1,,Fuerza Gustavo Petro Urrego vamos para atrás no para dar impulso #CadenaDeAfectosPorPetro,Positivo,71
Quiroz4Dani,,Le deseo una pronta y total recuperación Señor Gustavo Petro por su familia y por los que creemos en usted. 🙏 #CadenaDeAfectosPorPetro,Positivo,70
teurgista,,"Profundamente esperanzado y tranquilo con la noticia que @petrogustavo salió bien de su cirugía. Le deseo una pronta recuperación, aunque tengo muy claro que su voz beligerante y fecunda no esperará a su cuerpo para levantarse.  #CadenaDeAfectosPorPetro",Positivo,76
Olivertweettss,Altos Del Golàn ,"Ese hijueputa no es ni serio! ilusionar a uno de esa manera, lo que tiene es una hp gastritis🙄 #CadenaDeAfectosPorPetro",Positivo,63
jrnv96,El país más corrupto del mundo,"#CadenaDeAfectosPorPetro
Siempre adelante @petrogustavo vas a salir victorioso de esta y de muchas más. Hoy más que nunca te deseo la mejor de las energías y mucha fortaleza.",Positivo,90
Rios53Rios,POPAYAN,#CadenaDeAfectosPorPetro  #LosGustavos .Suspenso y Misterio el nuevo novelón de @GustavoBolivar . https://t.co/LgCz34rSBQ,Positivo,80
jaimealfonso71,Onzaga  (Santander)  Colombia.,"Gustavo Petro, qué sería de Colombia sin usted??#CadenaDeAfectosPorPetro",Positivo,66
sonick_seven,bogota,"#CadenaDeAfectosPorPetro como ser humano le deseo que su estado de salud mejore.

Uno de los grandes lideres politicos de este país",Positivo,68
alejac0518,colombia,"#CadenaDeAfectosPorPetro

Vamos Petrosky 💪🏻",Positivo,80
SoyLaIndolente,Al fondo a la izquierda ,#CadenaDeAfectosPorPetro 💪❤️ se le quiere @petrogustavo,Positivo,61
Santiago_V1,"Guadalajara de Buga, Colombia",#CadenaDeAfectosPorPetro  @petrogustavo mucha fuerZa ! Recuperese pronto para que siga peinando a todas esas ratas !!!!!,Positivo,72
Carlos61859821,Narnia,"Todos unidos en oración por @petrogustavo 🙏 hoy mas que nunca #SigamonosLosBuenos2020
#DespiertaColombia #UribeEsElCáncerDeColombia #NoMasUribe 
#CadenaDeAfectosPorPetro",Positivo,74
Cadenauribista,"Bogotá, D.C., Colombia",Fuerza cacas tu eres una mierda dura #CadenaDeAfectosPorPetro,Negativo,47
espirituesencia,,"#CadenaDeAfectosPorPetro #FuerzaPetro  #PetroEstamosContigo  #CadenaDeAfectosPorPetro  #CadenaDeAfectosPorPetro         # PetroEstamosContigo
#FuerzaPetro https://t.co/NOydAZDGb6",Positivo,66
LaoCaceres,"bogota,colombia",Me alegra tantísimo saber que salió estable de su cirugía ....aquí seguimos apoyándolo pronta recuperación que su pueblo lo espera @petrogustavo #CadenaDeAfectosPorPetro,Positivo,64
carlos09sierra,Colombia,#CadenaDeAfectosPorPetro  #CadenaDeAfectosPorPetro desde la costa norte de Colombia un inmenso y amoroso abrazo para @petrogustavo @andreapetro91,Positivo,71
HOLLMANMORRIS,"Bogotá, D.C., Colombia","Los invitamos a enviar un video de fortaleza a @petrogustavo con el #CadenaDeAfectosPorPetro.

Siga la transmisión en vivo por el @Tercer_Canal en este link en minutos. https://t.co/fArmVgV97X https://t.co/VDBROWboVh",Positivo,74
spcm3,,"Bendiciones!!Pronta recuperación. Este país necesita de su inteligencia.
#CadenaDeAfectosPorPetro",Positivo,70
diegonoticiass,"Bogotá, D.C., Colombia","JAJAJAJ ESTOS COSTEÑOS SON UNA RISA. 🤣🤣🤣🤣🤣
 https://t.co/tTo6RQCsZE
#cuidarnuestrosmedicoses
#CadenaDeAfectosPorPetro",Positivo,69
Reybarrerav,Kli,#CadenaDeAfectosPorPetro lo q le pasó a Petro nos va a pasar a todos por consumir alimento envenenados e importados sin control ahí no hay ica ni invima porq son la misma mafia del Coronavirus y están con la corrupción,Positivo,59
ArianaAladin,Colombia,"@NoticiasCaracol @petrogustavo A #CadenaDeAfectosPorPetro les decimos: #PetroMiente, es #PuraPAJA 
Pedimos @CorteSupremaJ y @PGN_COL de @fcarrilloflorez que investiguen al Senador Petro quien utiliza su SALUD y una Endoscopia q ya se había hecho en Colombia, para justificar su ausencia en sesiones del Congreso",Positivo,64
juanfernandodt,Madrid,"Una ola de apoyo y cariño para toda su familia. Gustavo Petro, operado con éxito en el Cimeq en La Habana.
https://t.co/H7otupHvI6
#FelizLunes #CadenaDeAfectosPorPetro #LunesDeGanarSeguidores https://t.co/6IPIqWje8I",Positivo,80
Lucas89777309,,"Al periodismo ""independiente"" le digo que deben leer ésto también.
#NoMasLey100 
#COVID2019 
#FuerzaPetroEstamosContigo
#CadenaDeAfectosPorPetro 
#CadenaDeAfectosPorPetro 
#ClaudiaIrresponsable 
#ClaudiaLopezOportunista https://t.co/wcdoircFYC https://t.co/fr2LnhVvIr",Positivo,68
matarife82,,"#CadenaDeAfectosPorPetro
Señor petro recupérese para el 2022 y asuma el cargo de presidente de colombia https://t.co/3Z5qrFdMa4",Positivo,74
carlos09sierra,Colombia,"#CadenaDeAfectosPorPetro Todo mi cariño, amor y respeto para @petrogustavo @andreapetro91 @GustavoBolivar @DavidRacero",Positivo,77
espirituesencia,,"Le viene bien al LONDOÑO Facista d Logia ALZATISTA y  cartel URIBEños q Convirtieron este país en su platanal  x eso tienen otro Fantoche  Títere, cómo SubPreDte, terminando de DEFECARLO  #CadenaDeAfectosPorPetro 
#FuerzaPetro Petro https://t.co/423YYViSIz",Positivo,72
miguelalejopaez,,#CadenaDeAfectosPorPetro que Dios te saque adelante Petrosky,Positivo,63
andresvera2021,cali valle,Gracias mi señor Jehová Dios por conservar y proteger a nuestro líder con el cual tendremos una COLOMBIA HUMANA. #CadenaDeAfectosPorPetro #FuerzaPetro,Positivo,83
PaoRusso08,Barranquilla/Colombia,@nicolaspetroB Dios es su médico. Todo saldrá bien 🙏 No sé que será de Colombia sin usted #FuerzaPetro  #CadenaDeAfectosPorPetro,Positivo,73
SamuelPeCano,"Medellín, Colombia","#cadenadeafectosporpetro estoy completamente feliz al saber que @petrogustavo salió bien de su cirugía. Espero de todo corazón que el senador se recupere pronto, ¡miles de abrazos y buenas energías!",Positivo,91
skayef0506,BOGOTA,Fuerza @petrogustavo estamos contigo #CadenaDeAfectosPorPetro https://t.co/vBlX3XKSyZ,Positivo,70
Rafa_S_Granados,La Ruta Del Sol,@PoIiacrilamido @Mrblanco19 #CadenaDeAfectosPorPetro Para que se muera de verdad.,Positivo,65
RobertoMTico,"Bogotá, D.C., Colombia","Lo importante es que salio bien la cirugía

Listo para gobernar @petrogustavo 

#CadenaDeAfectosPorPetro https://t.co/zCswIHVZKg",Positivo,78
Paticita222,Colombia,Dios lo bendiga y proteja #CadenaDeAfectosPorPetro,Positivo,57
ArleyMartinez70,,"#CadenaDeAfectosPorPetro
Este mercado se lo entregaron a una colombiana en España

Y que no nos vengan con el cuento de que el Estado no tiene plata, porque harta plata que nos roban los politicos a diario. https://t.co/Q2AUAdC9lP",Positivo,54
Gongora65Jorge,,"Como es posible que un periódico de circulación nacional se preste para difundir una noticia falsa, una ENDOSCOPIA no es una CIRUGÍA. Hasta en esto este asqueroso personaje es un fraude. #CadenaDeAfectosPorPetro #PetroMiente https://t.co/EhOolDEIyA",Positivo,54
Carlos61859821,Narnia,"Gracias a Dios uno de nuestros líderes más importantes de Colombia salió bien, todos a unirnos a la cadena de Oración para @petrogustavo 🙏
#CadenaDeAfectosPorPetro",Positivo,89
Marioceron01,Pasto,Todo saldrá bien #cadenadeafectosporpetro,Positivo,82
ladycord,Cali - Colombia,"Aunque a veces no estoy del todo de acuerdo con sus declaraciones, @petrogustavo ha sido un mejor líder político que el payaso que nos está gobernando. Le deseo pronta recuperación, mucha fortaleza que usted saldrá victorioso. #CadenaDeAfectosPorPetro",Positivo,72
Mauro29682021,,#cadenadeafectosporpetro ojalá se recupere y llegue mejor que antes,Positivo,83
MamertoMayor,Colombia,"@MafeCarrascal @petrogustavo @nicolaspetroB @sofia_petro @andreapetro91 Todo el apoyo a nuestro mesías. Gracias. 

#CadenaDeAfectosPorPetro",Positivo,91
ArianaAladin,Colombia,"@JuanCamilo @FSFB_Salud A los de #CadenaDeAfectosPorPetro les decimos una y otra vez que el pastorcito mentiroso @petrogustavo al sentirse pillado en Cuba donde asistió al FORO COMUNISTA Latam, no le quedó  otra q hacerse una  nueva BIOPSIA para justificar su ausencia sin permiso del Senado.Pendejos NO!",Positivo,71
Henbertcito,"Bogotá, Colombia","#cadenadeafectosporpetro??? @petrogustavo ""Hice toro ese llanto por una endoscopia"", realmente los que le creen cada babosada son muy idiotas, ¿cirugía una pinche endoscopia? https://t.co/AhrZEJzTQm",Positivo,66
JorgeLopez_g0,,"#CadenaDeAfectosPorPetro La sonda con la que le hicieron la ENDOSCOPÍA (no cirugía) a Petro seguro salió oliendo como si le hubieran hecho una colonoscopía, jajaja pobre Petrismo si es que creé mucha 💩.",Positivo,50
AdAstra4643,"Medellín, Colombia",#cadenadeafectosporpetro todo muy bien,Positivo,84
dannyskydive,Colombia,"Esta alborotada esa bodega, y lo peor el sensei rascandose las huevas en cuba y haciendole pistola y roscas a todos sus fanaticos. CABRON #CadenaDeAfectosPorPetro",Negativo,64
LuisBdsBno,¡Ciudad Sorpresa!,"Para generar confianza, Petro debe transmitir en vivo su operación y que la narre William Vinasco.
#CadenaDeAfectosPorPetro",Positivo,60
ByHumana,Tunja-Boyacá,"#CadenaDeAfectosPorPetro 
En un momento azaroso impredecible solo la fuerza que sobre uno han puesto, solo la fuerza que uno ha despertado, puede salvarlo, puede salvarlo
...
Porque el amor es certeza
la certeza de la vida https://t.co/b8eHwOtUbD",Positivo,49
tereherre,,"De esta saldrá bien nuestro querido, valiente y honesto Senador @petrogustavo #CadenaDeAfectosPorPetro",Positivo,77
JaviOnekenobi,,"Pedir una #CadenaDeAfectosPorPetro y no una #CadenaDeOracion demuestra el ateismo brujo y santero de los comunistas latinoamericanos disfrazados de ""socialistas"". Un hombre sin Dios, es un hombre sin ley. Otro falso positivo del mitomano Petro convertido en simple ""ENDOSCOPIA"".",Positivo,56
lafigueroas,COLOMBIA,"@petrogustavo tu eres grande, te llevo en mi alma, confío en Dios para que los resultados mañana sean un éxito y sigas dando lora como solo tu sabes hacerlo. Te necesitamos. #CadenaDeAfectosPorPetro",Positivo,70
diegonoticiass,"Bogotá, D.C., Colombia","Duque es mi presidente duelale a quien le duela.

At: Nadie Nadie Nadie
Cc 11111111111111

#CadenaDeAfectosPorPetro
#FelizLunes",Positivo,72
jhonhq77,,#CadenaDeAfectosPorPetro vamos con toda Petro 👍🏻,Positivo,84
moralesjhonny,zipaquira / colombia ,#CadenaDeAfectosPorPetro por que Colombia necesita mas personas como usted que no se venden,Positivo,73
farcila20,,"#CadenaDeAfectosPorPetro la salud cubana es milagrosa, Petro no tiene nada, los médicos le entregarán los resultados y la orden de no investigación a la Corte.",Positivo,62
espirituesencia,,"@MIsabelRueda  Petro ha Explicado, q El Sr. Gutiérrez no es su Familiar. En cambio Tenebroso Sr de l@s URIBEños si tiene familiares i. Su Senador j. bdulio, primo d Pablo Escobar es d ese cartel URIBEños.,Informe Se 
#FuerzaPetro  #CadenaDeAfectosPorPetro 
#PetroEstamosContigo",Positivo,59
JorgeLopez_g0,,"#CadenaDeAfectosPorPetro ""Quédate con es@ que vaya a votar por Petro, si es@ se traga todas sus mentiras, seguro te creerá las tuyas""
Gustavo Bolívar.",Positivo,62
LaDerecha2,Colombia,El señor Jesús te guarde eres la persona  que necesita este país para presidente. #CadenaDeAfectosPorPetro,Positivo,76
Mauro0760,Medellín,"Hoy recibimos muy buenas noticias sobre la salud de @petrogustavo, ¡mañana serán mejores! #CadenaDeAfectosPorPetro 
#FuerzaPetro 
#FuerzaPetroEstamosContigo",Positivo,90
LuisBdsBno,¡Ciudad Sorpresa!,El único delito que ha cometido @petrogustavo es el haberse robado nuestros corazones. ❤️ #CadenaDeAfectosPorPetro https://t.co/j0ndROPLJ1,Positivo,61
JimmyPsicol,"Bucaramanga, Colombia","¿Entonces en Cuba trataron y curaron el cáncer al senador Iván Cepeda? ¿Entonces el senador Petro también se puso en manos DEL MISMO equipo que trató a Cepeda? Sabia decisión. Creo en la capacidad de los médicos colombianos, pero tenemos DERECHO a elegir
#CadenaDeAfectosPorPetro https://t.co/g87ySqRSo4",Positivo,59
JohnLpe03302925,🇨🇴🇺🇲🇻🇪🇨🇱🇵🇦🇲🇽,#CadenaDeAfectosPorPetro Ojala al TERRORISTA  le salgan los exámenes médicos bien y sin anomalías.,Positivo,77
CelsoCelfido,,#CadenaDeAfectosPorPetro saldrás adelante,Positivo,71
Pablo20020649,,"Por una puta endoscopia nadie se muere, el verdadero cancer es el  es#CadenaDeAfectosPorPetro",Negativo,57
JorgeLopez_g0,,"#CadenaDeAfectosPorPetro Los mismos que creen que los médicos en Colombia y en el mundo, mueren ante el covid 19 por la ley 100, creen que una endoscopia es una cirugía 🤣 así o más hijueputas de imbéciles?",Positivo,62
feloplus,"Lorica, Colombia",Vamos Gustavo Petro eres fuerte en todas las dificultades. Tu pueblo te apoya en momentos tan difíciles. #CadenaDeAfectosPorPetro,Positivo,78
Victor_V69,,"#CadenaDeAfectosPorPetro
Fuerza próximo presidente de Colombia",Positivo,77
wilmerbermudezo,,"Lo necesitamos es el verdadero y legítimo Presidente de Colombia, la mejor vibra Presidente. #CadenaDeAfectosPorPetro",Positivo,90
joguiromo,Colombia,"#EnElMundoMiMi de
#FelizLunes
#CadenaDeAfectosPorPetro
#HéroesEnLaVía
#ElPelitoSanador
Cartagena
Carrasquilla
ENDOSCOPÍA
América vs Nacional
Cuba
Fernando Londoño

Para #CuidarNuestrosMedicosEs necesario garantizar su comodidad en Colombia, porque desafortunadamente hay mucho... https://t.co/x16mOBQvLM",Positivo,62
Jeshus_f7,"Antioquia, Colombia","Bolsas con fajos de dinero y un extrañoviaje a cuba que no ha podido explicar. Solo se inventa un ""favor"" y un ""cáncer"" que luego ambos son desmentidos. Y salen con #CadenaDeAfectosPorPetro por sus mentiras.",Negativo,60
AndresilloCas,Bogotá-Colombia,"@petrogustavo  has estado presente en muchísimas oraciones de los Colombianos, que la fuerza y el amor nunca te falten. ¡Recupérate!       #CadenaDeAfectosPorPetro #FuerzaPetro #PetroEstamosContigo https://t.co/iX9DORz1Tr",Positivo,69
AlexGmezPetro,Bogotá D.C.,"#CadenaDeAfectosPorPetro Apreciado primo Gustavo, recuperese pronto, hay que seguir insistiendo en las buenas causas. Ánimo y muchos saludos.",Positivo,82
ideavila1,"Bogotá, D.C., Colombia",Que sean Jesús ( Dios) limpiando con su poderosa sangre esas imperfecciones de su esófago y lo devuelva sano y con más brío. Amen  #CadenaDeAfectosPorPetro,Positivo,60
alvahe0317,BOGOTA,"Gracias Dios por meter tu mano poderosa, seguiremos orando para que todo marche de la mejor manera.#CadenaDeAfectosPorPetro",Positivo,92
alejo8923,,"Es una lucha de todos y venceremos. 
#CadenaDeAfectosPorPetro https://t.co/r0y2rgKpiw",Positivo,64
pachodiez,"Cali, Colombia",Demasiado ego en los que rodean a @petrogustavo y su #CadenaDeAfectosPorPetro   No son capaces de pedir cadena de ORACION porque su humildad no da para tanto. Al senador que Dios lo acompañe en su salud,Positivo,58
Tierra_pmab,,Toda la bonita energía para @petrogustavo para su pronta y total recuperación.  Lo esperamos pronto en el debate político de nuestra Colombia #CadenaDeAfectosPorPetro,Positivo,74
ideavila1,"Bogotá, D.C., Colombia",Resucitó con Jesús.  #CadenaDeAfectosPorPetro,Positivo,63
angola_tuma80,,#CadenaDeAfectosPorPetro siempre adelante,Positivo,76
espirituesencia,,"#FuerzaPetro  #FuerzaPetroEstsmidContigo
#CadenaDeAfectosPorPetro  Sra @MIsabelRueda aclare sus inquisidoras ""Dudas"" eprocedimiento Endoscopico es Invasivo puede tomar Muestras para  Biopsia+HACER ANALISIS Patológico confirmando o descartando HIPOTESIS CLINICA @WRadioColombia https://t.co/hXjHh00nrI",Positivo,53
Gongora65Jorge,,"En mi vida me han hecho endoscopias, no sabia que se debía hacer show, noticias, cadena nacional por un examen, algo que es normal para el resto de la población, pero no para el ex terrorista, ex pésimo alcalde, podrido senador, presidente de Narnia. #CadenaDeAfectosPorPetro",Positivo,63
flacop77e,,A partir de hoy se empieza a ganar esta batalla hoy por tu salud y en elección con tu precidencia por q no abra fraude q nos venza toda nuestra fe puesta en tu recuperación #CadenaDeAfectosPorPetro,Positivo,78
alejo8923,,"Gracias @petrogustavo
#CadenaDeAfectosPorPetro https://t.co/Fn5ZEEQfgL",Positivo,90
El_Mono_Polio,"Bogotá, DC, Colombia","Ya entendimos que los conductores y vehículos oficiales deben ser para transportar médicos y no generales, ministros, congresistas y magistrados?

@IvanDuque #CadenaDeAfectosPorPetro #FelizLunes",Positivo,62
Maria06_23,"Isla de Francia, Francia","#CadenaDeAfectosPorPetro Gracias a Dios le fue bien a Gustavo Petro, lo tendremos para rato.",Positivo,93
JoseLeyton08,,"#CadenaDeAfectosPorPetro
#FuerzaPetro  estamos contigo.💪💪",Positivo,67
